"","OB1","OB3","OB4","YB1","YB3","YB4"
"ENSMUSG00000058587",24621,22093,30210,26944,21551,21441
"ENSMUSG00000058588",0,0,0,0,0,0
"ENSMUSG00000058589",0,31,0,0,0,0
"ENSMUSG00000058590",0,0,0,0,0,0
"ENSMUSG00000058594",4639,5253,7346,4040,4547,5624
"ENSMUSG00000058600",257,200,347,463,327,377
"ENSMUSG00000058603",256,154,269,223,214,179
"ENSMUSG00000058607",0,0,0,0,0,0
"ENSMUSG00000058613",0,0,0,0,0,0
"ENSMUSG00000058618",0,0,0,0,0,0
"ENSMUSG00000058620",10,8,16,25,114,2
"ENSMUSG00000058622",0,1,0,0,0,0
"ENSMUSG00000058624",644,244,801,165,75,290
"ENSMUSG00000058625",5,7,4,3,3,1
"ENSMUSG00000058626",59,0,0,1,6,0
"ENSMUSG00000058628",0,0,0,0,0,0
"ENSMUSG00000058631",0,0,0,0,0,0
"ENSMUSG00000058638",2302,2771,3976,2471,2860,3938
"ENSMUSG00000058643",0,0,0,0,0,0
"ENSMUSG00000058655",4343,3394,5431,4372,3208,2960
"ENSMUSG00000058656",587,579,1039,478,497,535
"ENSMUSG00000058659",0,0,0,0,0,0
"ENSMUSG00000058662",0,0,0,0,0,0
"ENSMUSG00000058665",0,0,0,0,0,0
"ENSMUSG00000058669",0,0,0,0,0,0
"ENSMUSG00000058670",0,0,0,0,0,0
"ENSMUSG00000058672",10207,9020,13609,11690,9044,8516
"ENSMUSG00000058685",0,0,0,0,0,0
"ENSMUSG00000058690",8283,8552,14016,8194,9049,9091
"ENSMUSG00000058692",0,0,0,0,0,0
"ENSMUSG00000058700",0,0,0,0,0,2
"ENSMUSG00000058704",592,1100,1313,1429,1293,723
"ENSMUSG00000058706",953,1314,853,564,320,851
"ENSMUSG00000058709",5726,4296,7761,5978,5643,5401
"ENSMUSG00000058715",69,17,30,19,40,30
"ENSMUSG00000058717",0,0,0,0,0,0
"ENSMUSG00000058725",0,0,0,0,0,0
"ENSMUSG00000058728",0,0,0,0,0,0
"ENSMUSG00000058729",334,347,502,652,589,361
"ENSMUSG00000058731",0,0,0,0,0,0
"ENSMUSG00000058740",4,42,0,113,144,0
"ENSMUSG00000058741",0,0,0,3,0,0
"ENSMUSG00000058743",1,75,65,1,104,53
"ENSMUSG00000058745",197,165,213,193,210,222
"ENSMUSG00000058748",314,298,244,551,476,457
"ENSMUSG00000058755",41,0,63,10,0,31
"ENSMUSG00000058756",1678,1338,1984,1807,2099,1741
"ENSMUSG00000058761",664,983,1356,651,1184,631
"ENSMUSG00000058773",0,16,21,0,0,0
"ENSMUSG00000058793",9993,8306,12147,8281,8896,7208
"ENSMUSG00000058794",99,22,67,5,293,31
"ENSMUSG00000058799",2836,1873,2739,2208,2974,1752
"ENSMUSG00000058802",0,0,0,0,0,0
"ENSMUSG00000058806",1649,1049,2314,802,1000,2521
"ENSMUSG00000058807",0,0,0,0,0,0
"ENSMUSG00000058809",3141,1906,3349,5394,2971,2423
"ENSMUSG00000058812",11,21,2,13,9,16
"ENSMUSG00000058816",351,303,443,426,289,328
"ENSMUSG00000058818",0,40,21,61,89,33
"ENSMUSG00000058820",0,0,0,0,0,0
"ENSMUSG00000058831",0,0,21,0,64,16
"ENSMUSG00000058833",1039,691,1027,1012,1050,941
"ENSMUSG00000058835",7318,5999,7738,6955,7208,6805
"ENSMUSG00000058838",57,58,46,52,43,63
"ENSMUSG00000058856",0,0,0,0,0,0
"ENSMUSG00000058869",0,2,0,0,0,0
"ENSMUSG00000058873",2,0,0,0,0,1
"ENSMUSG00000058881",240,673,1054,249,613,831
"ENSMUSG00000058883",0,0,0,0,0,2
"ENSMUSG00000058884",0,0,0,0,0,0
"ENSMUSG00000058886",1819,1781,2698,1592,2604,2588
"ENSMUSG00000058897",0,0,0,0,0,0
"ENSMUSG00000058900",188,271,204,213,372,267
"ENSMUSG00000058904",0,0,0,0,0,0
"ENSMUSG00000058905",5,8,10,14,5,13
"ENSMUSG00000058908",0,0,0,0,0,0
"ENSMUSG00000058914",0,0,0,0,0,0
"ENSMUSG00000058921",0,0,0,0,0,0
"ENSMUSG00000058922",578,530,829,470,522,623
"ENSMUSG00000058923",0,0,0,0,0,0
"ENSMUSG00000058925",0,0,0,0,7,0
"ENSMUSG00000058927",42,46,36,37,52,47
"ENSMUSG00000058932",0,0,0,0,0,0
"ENSMUSG00000058933",0,0,0,0,0,0
"ENSMUSG00000058934",0,0,0,0,0,0
"ENSMUSG00000058935",0,0,0,0,0,0
"ENSMUSG00000058952",2,26,67,37,0,6
"ENSMUSG00000058953",0,0,0,0,0,0
"ENSMUSG00000058966",234,184,496,173,247,258
"ENSMUSG00000058975",0,0,0,0,0,0
"ENSMUSG00000058976",0,0,0,0,0,0
"ENSMUSG00000058979",694,773,970,1251,1250,1039
"ENSMUSG00000058981",0,0,0,0,0,0
"ENSMUSG00000058997",1874,2106,3066,1536,1610,2409
"ENSMUSG00000059003",90,47,71,0,0,0
"ENSMUSG00000059005",458,429,514,579,404,446
"ENSMUSG00000059013",10874,8931,14601,12409,10027,11757
"ENSMUSG00000059014",0,0,0,0,0,0
"ENSMUSG00000059022",1752,2571,3407,2936,4235,4365
"ENSMUSG00000059023",0,0,0,0,0,0
"ENSMUSG00000059027",23,18,0,20,90,68
"ENSMUSG00000059030",0,0,0,0,0,0
"ENSMUSG00000059031",0,0,0,0,0,0
"ENSMUSG00000059033",6,6,10,11,9,5
"ENSMUSG00000059040",92,88,133,92,102,112
"ENSMUSG00000059041",0,0,0,0,0,0
"ENSMUSG00000059042",0,0,0,0,0,0
"ENSMUSG00000059043",0,0,0,0,0,0
"ENSMUSG00000059049",0,0,0,0,0,0
"ENSMUSG00000059058",156,126,129,157,144,155
"ENSMUSG00000059060",0,9,0,0,0,0
"ENSMUSG00000059064",0,5,1,1,0,1
"ENSMUSG00000059069",0,0,0,0,0,0
"ENSMUSG00000059070",339,420,561,320,525,910
"ENSMUSG00000059077",0,0,0,0,0,0
"ENSMUSG00000059087",0,0,0,0,0,0
"ENSMUSG00000059089",0,0,0,27,2,0
"ENSMUSG00000059101",0,0,0,0,0,0
"ENSMUSG00000059105",0,0,0,0,0,0
"ENSMUSG00000059106",0,0,0,0,0,0
"ENSMUSG00000059108",0,0,12,5,0,0
"ENSMUSG00000059112",0,0,0,0,0,0
"ENSMUSG00000059113",0,0,0,0,0,0
"ENSMUSG00000059114",0,0,0,0,0,0
"ENSMUSG00000059119",10488,8101,12519,13747,12684,11050
"ENSMUSG00000059128",0,0,0,0,0,0
"ENSMUSG00000059134",0,0,0,0,0,0
"ENSMUSG00000059136",0,0,0,0,0,0
"ENSMUSG00000059142",448,553,1162,648,525,655
"ENSMUSG00000059146",0,58,7,39,122,31
"ENSMUSG00000059149",2125,2170,4432,2108,1973,2039
"ENSMUSG00000059150",0,0,0,0,0,0
"ENSMUSG00000059159",275,339,451,276,467,382
"ENSMUSG00000059169",0,0,0,0,0,0
"ENSMUSG00000059173",365,426,439,918,217,112
"ENSMUSG00000059179",0,0,0,0,0,1
"ENSMUSG00000059182",1343,1337,1454,931,1027,833
"ENSMUSG00000059183",369,683,927,991,994,940
"ENSMUSG00000059187",0,0,0,0,0,0
"ENSMUSG00000059189",0,0,0,0,0,0
"ENSMUSG00000059195",4329,2668,4481,2864,2860,2860
"ENSMUSG00000059201",0,0,0,0,0,0
"ENSMUSG00000059203",0,0,0,0,0,0
"ENSMUSG00000059205",0,0,0,0,0,0
"ENSMUSG00000059206",0,0,0,0,0,0
"ENSMUSG00000059208",15507,11011,15185,12148,12612,11145
"ENSMUSG00000059213",0,0,0,0,43,1
"ENSMUSG00000059218",0,0,0,0,0,0
"ENSMUSG00000059227",0,0,0,0,0,0
"ENSMUSG00000059229",0,0,0,0,0,0
"ENSMUSG00000059230",0,0,0,0,0,0
"ENSMUSG00000059237",1732,1362,1878,1661,1299,1433
"ENSMUSG00000059244",0,0,0,0,0,0
"ENSMUSG00000059246",0,0,0,0,0,0
"ENSMUSG00000059248",3385,2556,4555,3337,3233,3145
"ENSMUSG00000059251",0,0,0,0,0,0
"ENSMUSG00000059252",1,1,0,1,0,1
"ENSMUSG00000059256",0,0,0,0,0,0
"ENSMUSG00000059263",6076,6631,11594,6307,4974,9165
"ENSMUSG00000059273",743,784,1273,665,918,1049
"ENSMUSG00000059277",318,178,224,326,241,189
"ENSMUSG00000059278",219,306,313,178,283,207
"ENSMUSG00000059279",0,0,0,0,0,0
"ENSMUSG00000059280",0,0,0,0,0,0
"ENSMUSG00000059288",740,1456,2163,1123,1398,1668
"ENSMUSG00000059291",23,98,90,112,75,54
"ENSMUSG00000059301",34,38,42,77,50,50
"ENSMUSG00000059303",0,0,0,0,0,0
"ENSMUSG00000059305",0,0,0,0,0,2
"ENSMUSG00000059316",1166,627,1683,654,764,930
"ENSMUSG00000059319",0,0,0,0,0,0
"ENSMUSG00000059323",5093,4415,6198,4540,5029,4022
"ENSMUSG00000059325",42,37,87,129,64,85
"ENSMUSG00000059326",140,128,250,218,315,141
"ENSMUSG00000059327",118,36,0,0,0,67
"ENSMUSG00000059334",0,64,4,54,17,95
"ENSMUSG00000059336",62,8,109,0,7,167
"ENSMUSG00000059343",537,454,619,346,390,361
"ENSMUSG00000059352",0,0,0,0,0,0
"ENSMUSG00000059355",524,526,797,482,615,592
"ENSMUSG00000059361",0,0,0,0,33,0
"ENSMUSG00000059363",256,173,299,107,264,140
"ENSMUSG00000059366",0,0,0,0,0,0
"ENSMUSG00000059371",0,0,0,0,0,0
"ENSMUSG00000059375",0,0,0,0,0,0
"ENSMUSG00000059379",0,0,0,0,0,0
"ENSMUSG00000059382",0,0,0,0,0,0
"ENSMUSG00000059383",0,0,0,0,0,0
"ENSMUSG00000059395",54,182,181,63,96,100
"ENSMUSG00000059397",0,0,0,0,0,0
"ENSMUSG00000059401",238,380,1347,444,1218,829
"ENSMUSG00000059406",0,18,0,0,0,5
"ENSMUSG00000059408",55,0,0,22,0,20
"ENSMUSG00000059409",4080,3884,5552,4134,4001,4893
"ENSMUSG00000059410",0,0,0,0,0,0
"ENSMUSG00000059411",0,0,0,0,0,0
"ENSMUSG00000059412",9,42,48,23,17,199
"ENSMUSG00000059422",532,402,761,743,697,601
"ENSMUSG00000059423",236,182,15,134,289,213
"ENSMUSG00000059429",0,0,0,0,0,0
"ENSMUSG00000059430",26,44,0,85,37,83
"ENSMUSG00000059434",56,2,30,0,34,0
"ENSMUSG00000059436",8554,7329,12231,7337,10656,9053
"ENSMUSG00000059439",1633,2200,3173,2337,2118,2717
"ENSMUSG00000059447",875,891,1094,979,1172,1014
"ENSMUSG00000059448",0,0,0,0,0,0
"ENSMUSG00000059455",0,0,0,0,0,0
"ENSMUSG00000059456",332,180,623,81,0,231
"ENSMUSG00000059459",0,0,0,0,0,0
"ENSMUSG00000059460",0,0,0,0,0,0
"ENSMUSG00000059461",9,11,10,14,10,12
"ENSMUSG00000059463",0,0,0,0,0,0
"ENSMUSG00000059473",0,0,0,0,0,0
"ENSMUSG00000059474",419,722,1006,447,1052,1072
"ENSMUSG00000059475",371,675,776,1314,927,568
"ENSMUSG00000059479",53,42,124,85,134,154
"ENSMUSG00000059481",0,0,0,0,0,0
"ENSMUSG00000059482",590,853,1610,791,1088,1207
"ENSMUSG00000059483",0,0,0,0,0,0
"ENSMUSG00000059486",8436,8620,12463,8252,10129,7942
"ENSMUSG00000059488",0,0,0,0,0,0
"ENSMUSG00000059493",48,0,0,1,76,39
"ENSMUSG00000059495",4515,3433,5683,4915,3867,4120
"ENSMUSG00000059498",0,26,34,79,91,1
"ENSMUSG00000059503",0,0,0,0,0,0
"ENSMUSG00000059504",0,0,0,0,0,0
"ENSMUSG00000059511",1835,1428,1936,1679,1926,1605
"ENSMUSG00000059518",1218,840,1047,840,973,1088
"ENSMUSG00000059534",964,922,1119,1143,1084,1179
"ENSMUSG00000059540",449,379,569,575,513,387
"ENSMUSG00000059547",0,0,0,0,0,0
"ENSMUSG00000059552",2997,2550,3476,2221,2943,3357
"ENSMUSG00000059554",134,415,468,351,368,352
"ENSMUSG00000059555",1783,2006,3147,2651,2044,3378
"ENSMUSG00000059562",20,25,113,8,31,53
"ENSMUSG00000059565",0,0,0,0,0,0
"ENSMUSG00000059571",0,0,0,0,0,0
"ENSMUSG00000059585",4,1,2,3,1,0
"ENSMUSG00000059586",940,1226,1278,462,1251,915
"ENSMUSG00000059588",5238,7865,11053,5501,8726,10164
"ENSMUSG00000059595",0,0,0,0,0,0
"ENSMUSG00000059602",38,74,286,26,53,94
"ENSMUSG00000059606",0,0,0,0,0,0
"ENSMUSG00000059610",0,0,0,0,0,0
"ENSMUSG00000059623",0,0,0,0,0,0
"ENSMUSG00000059625",0,0,0,0,0,0
"ENSMUSG00000059626",0,0,0,0,0,0
"ENSMUSG00000059631",0,0,23,0,0,6
"ENSMUSG00000059632",0,0,0,0,0,0
"ENSMUSG00000059639",0,0,0,0,0,3
"ENSMUSG00000059645",0,0,0,0,0,0
"ENSMUSG00000059647",4,3,9,2,4,11
"ENSMUSG00000059648",0,0,0,0,0,0
"ENSMUSG00000059654",0,0,0,0,0,0
"ENSMUSG00000059657",0,0,0,0,0,0
"ENSMUSG00000059658",7,4,8,4,3,1
"ENSMUSG00000059659",82,10,14,53,104,34
"ENSMUSG00000059663",0,0,0,0,0,0
"ENSMUSG00000059668",0,0,0,0,0,0
"ENSMUSG00000059669",2136,2036,2660,1660,2776,1880
"ENSMUSG00000059674",0,15,39,19,0,43
"ENSMUSG00000059687",0,0,0,0,0,0
"ENSMUSG00000059689",1797,1191,1426,1780,1517,1609
"ENSMUSG00000059690",0,0,0,0,0,0
"ENSMUSG00000059695",0,0,0,0,0,0
"ENSMUSG00000059706",0,3,0,0,0,0
"ENSMUSG00000059708",239,453,486,443,217,124
"ENSMUSG00000059713",1090,572,1968,723,1830,1374
"ENSMUSG00000059714",4478,2977,6471,2959,3886,3455
"ENSMUSG00000059729",0,0,0,0,0,0
"ENSMUSG00000059731",0,0,0,0,0,0
"ENSMUSG00000059734",1814,1724,1953,1445,2272,1791
"ENSMUSG00000059741",0,0,0,0,0,11
"ENSMUSG00000059742",17,143,293,190,1,1
"ENSMUSG00000059743",94,99,137,54,116,87
"ENSMUSG00000059751",52,47,71,48,63,36
"ENSMUSG00000059762",0,0,0,0,0,0
"ENSMUSG00000059763",0,0,0,0,0,0
"ENSMUSG00000059768",0,0,0,0,0,0
"ENSMUSG00000059772",472,455,1004,308,622,620
"ENSMUSG00000059775",352,264,387,295,327,346
"ENSMUSG00000059776",12,2,5,6,7,7
"ENSMUSG00000059791",1166,790,1288,820,1077,950
"ENSMUSG00000059796",4216,3728,6156,3422,4603,4057
"ENSMUSG00000059810",10486,11198,17620,11492,12442,15050
"ENSMUSG00000059811",3932,4665,6244,3784,3938,5424
"ENSMUSG00000059816",1,0,0,0,0,0
"ENSMUSG00000059820",1322,1287,1840,1750,1259,2300
"ENSMUSG00000059821",0,0,0,0,0,0
"ENSMUSG00000059824",6633,11281,15281,2859,14616,11428
"ENSMUSG00000059827",0,0,0,0,0,0
"ENSMUSG00000059830",78,44,88,43,49,54
"ENSMUSG00000059832",0,0,0,0,0,0
"ENSMUSG00000059834",1034,1036,959,827,1125,1002
"ENSMUSG00000059835",1,0,2,2,0,0
"ENSMUSG00000059839",108,168,138,85,99,85
"ENSMUSG00000059842",32,32,113,6,16,11
"ENSMUSG00000059845",0,0,0,0,0,0
"ENSMUSG00000059851",826,697,934,1529,842,1078
"ENSMUSG00000059852",0,0,0,56,0,33
"ENSMUSG00000059854",0,0,0,0,0,0
"ENSMUSG00000059857",0,0,0,0,0,0
"ENSMUSG00000059862",0,0,0,0,0,0
"ENSMUSG00000059864",0,0,0,0,0,0
"ENSMUSG00000059866",3047,2075,2774,2225,1515,2665
"ENSMUSG00000059867",0,0,0,0,0,0
"ENSMUSG00000059873",0,0,0,0,0,0
"ENSMUSG00000059874",0,0,0,0,0,0
"ENSMUSG00000059877",0,0,0,0,0,0
"ENSMUSG00000059878",5352,4474,7826,3382,4347,5554
"ENSMUSG00000059883",1009,843,1513,886,950,457
"ENSMUSG00000059887",0,0,0,0,0,0
"ENSMUSG00000059890",1771,1608,3306,1986,1488,1966
"ENSMUSG00000059891",13,10,3,18,20,40
"ENSMUSG00000059895",8177,6666,11426,8360,11215,8907
"ENSMUSG00000059897",280,384,246,220,152,588
"ENSMUSG00000059898",0,0,0,0,0,0
"ENSMUSG00000059900",30,4,26,0,0,19
"ENSMUSG00000059901",137,66,447,245,112,35
"ENSMUSG00000059908",0,0,0,0,0,0
"ENSMUSG00000059910",0,0,0,0,0,0
"ENSMUSG00000059912",0,2,0,0,0,0
"ENSMUSG00000059920",1445,1863,2016,1752,1856,1491
"ENSMUSG00000059921",0,0,0,0,0,0
"ENSMUSG00000059923",4334,3801,5410,4513,4885,4729
"ENSMUSG00000059934",0,0,0,0,0,0
"ENSMUSG00000059939",843,789,1083,1731,808,1195
"ENSMUSG00000059956",0,0,0,0,0,0
"ENSMUSG00000059964",0,0,0,0,0,0
"ENSMUSG00000059970",5360,6818,11032,5155,5696,6799
"ENSMUSG00000059972",0,0,0,0,0,0
"ENSMUSG00000059974",165,114,99,175,194,90
"ENSMUSG00000059975",1103,1248,1331,1258,1371,1056
"ENSMUSG00000059981",3595,3855,3778,3377,3545,4616
"ENSMUSG00000059991",66,41,113,51,21,37
"ENSMUSG00000059994",0,0,0,0,0,1
"ENSMUSG00000059995",447,703,1430,650,479,701
"ENSMUSG00000059996",0,0,0,0,0,0
"ENSMUSG00000060002",2042,2261,2948,1724,2135,2267
"ENSMUSG00000060012",504,360,1699,503,340,974
"ENSMUSG00000060017",0,0,0,0,0,0
"ENSMUSG00000060019",688,527,662,613,678,615
"ENSMUSG00000060024",0,0,0,0,0,0
"ENSMUSG00000060029",16,21,36,17,0,30
"ENSMUSG00000060030",0,0,0,0,0,0
"ENSMUSG00000060032",946,998,1164,610,1203,858
"ENSMUSG00000060034",0,0,1,2,0,3
"ENSMUSG00000060036",1325,1283,1705,1674,1434,1668
"ENSMUSG00000060038",938,651,1070,813,726,1373
"ENSMUSG00000060044",1,105,236,1,99,356
"ENSMUSG00000060049",0,0,0,0,0,0
"ENSMUSG00000060057",0,0,0,0,0,0
"ENSMUSG00000060063",20,2,8,15,0,27
"ENSMUSG00000060068",0,0,0,0,0,0
"ENSMUSG00000060070",0,0,0,0,0,0
"ENSMUSG00000060073",1002,819,875,1068,1051,972
"ENSMUSG00000060081",0,0,0,0,0,0
"ENSMUSG00000060084",0,0,0,0,0,0
"ENSMUSG00000060090",1124,898,1680,1169,1073,1582
"ENSMUSG00000060093",24,1,16,7,9,14
"ENSMUSG00000060096",366,288,522,175,181,146
"ENSMUSG00000060098",1338,873,836,760,1179,1529
"ENSMUSG00000060105",0,0,0,0,0,0
"ENSMUSG00000060112",0,0,0,0,0,0
"ENSMUSG00000060114",0,0,0,0,0,0
"ENSMUSG00000060121",762,382,837,535,750,820
"ENSMUSG00000060126",682,561,1432,1073,985,1433
"ENSMUSG00000060128",0,2,2,17,1,3
"ENSMUSG00000060131",0,0,0,0,0,0
"ENSMUSG00000060143",45,56,60,47,49,55
"ENSMUSG00000060147",4164,3800,5552,3622,4191,3908
"ENSMUSG00000060149",107,659,460,544,316,540
"ENSMUSG00000060152",1609,1165,2027,2347,2448,1719
"ENSMUSG00000060161",0,0,0,0,0,0
"ENSMUSG00000060166",1333,1451,2833,1988,1881,1769
"ENSMUSG00000060170",0,0,0,0,0,0
"ENSMUSG00000060176",93,0,50,7,0,0
"ENSMUSG00000060177",0,0,0,0,0,0
"ENSMUSG00000060180",0,0,0,0,0,0
"ENSMUSG00000060181",713,711,906,280,617,420
"ENSMUSG00000060183",49,63,51,37,157,120
"ENSMUSG00000060187",0,0,0,0,0,0
"ENSMUSG00000060188",19,2,2,16,0,20
"ENSMUSG00000060198",0,0,0,0,0,1
"ENSMUSG00000060201",0,0,0,0,0,0
"ENSMUSG00000060204",0,0,0,0,0,0
"ENSMUSG00000060205",0,0,0,0,0,0
"ENSMUSG00000060206",29,106,82,0,32,101
"ENSMUSG00000060208",0,0,0,0,0,0
"ENSMUSG00000060212",0,0,0,0,0,0
"ENSMUSG00000060216",389,513,599,570,586,544
"ENSMUSG00000060224",46,101,1,0,0,104
"ENSMUSG00000060227",310,596,1733,737,900,848
"ENSMUSG00000060240",160,114,81,66,0,51
"ENSMUSG00000060244",50,62,125,79,26,53
"ENSMUSG00000060245",0,0,0,0,0,0
"ENSMUSG00000060254",0,0,0,0,0,0
"ENSMUSG00000060256",0,0,0,0,0,0
"ENSMUSG00000060257",0,0,0,0,0,0
"ENSMUSG00000060260",3922,2549,3964,3331,3188,3445
"ENSMUSG00000060261",5861,6421,12283,6756,8556,8235
"ENSMUSG00000060268",0,0,0,0,0,0
"ENSMUSG00000060275",3,2,3,2,6,0
"ENSMUSG00000060279",3552,4427,6523,4063,4340,6434
"ENSMUSG00000060284",0,0,0,0,58,0
"ENSMUSG00000060288",13,108,99,91,137,71
"ENSMUSG00000060301",802,1085,904,1050,947,1193
"ENSMUSG00000060303",0,0,0,0,0,0
"ENSMUSG00000060311",0,0,0,0,0,0
"ENSMUSG00000060314",87,866,905,75,419,388
"ENSMUSG00000060317",0,0,0,0,0,0
"ENSMUSG00000060332",0,0,0,0,5,7
"ENSMUSG00000060335",0,0,0,0,0,0
"ENSMUSG00000060336",332,283,677,373,503,535
"ENSMUSG00000060371",56,62,3,0,0,34
"ENSMUSG00000060373",11004,7867,10366,9269,9413,8197
"ENSMUSG00000060375",0,0,0,0,0,0
"ENSMUSG00000060376",2832,2454,3896,1681,2876,1881
"ENSMUSG00000060377",30,25,22,18,14,30
"ENSMUSG00000060380",281,115,257,131,296,138
"ENSMUSG00000060393",898,877,1036,1069,988,860
"ENSMUSG00000060397",228,347,78,165,125,475
"ENSMUSG00000060402",0,75,2,0,4,51
"ENSMUSG00000060404",0,0,0,0,0,0
"ENSMUSG00000060407",0,0,0,0,0,0
"ENSMUSG00000060411",0,0,0,0,0,0
"ENSMUSG00000060412",0,0,0,0,0,0
"ENSMUSG00000060416",0,0,0,0,0,0
"ENSMUSG00000060417",0,0,0,0,0,0
"ENSMUSG00000060419",992,785,1056,890,1099,951
"ENSMUSG00000060424",0,0,5,0,0,9
"ENSMUSG00000060427",1219,1167,2052,1276,1353,963
"ENSMUSG00000060429",145,286,133,123,250,359
"ENSMUSG00000060438",409,277,379,312,359,249
"ENSMUSG00000060441",127,254,312,160,99,97
"ENSMUSG00000060445",0,0,0,0,0,0
"ENSMUSG00000060450",6865,6304,10526,6966,8096,6777
"ENSMUSG00000060459",0,53,54,46,5,303
"ENSMUSG00000060461",0,6,6,0,0,0
"ENSMUSG00000060467",1144,899,1258,1472,1461,1041
"ENSMUSG00000060469",0,0,0,0,0,0
"ENSMUSG00000060470",168,103,414,262,333,332
"ENSMUSG00000060475",615,779,723,611,998,830
"ENSMUSG00000060477",7396,4054,5189,8965,3607,4320
"ENSMUSG00000060480",0,0,0,0,0,0
"ENSMUSG00000060487",15,20,43,50,13,130
"ENSMUSG00000060490",0,0,0,0,0,0
"ENSMUSG00000060491",0,0,0,0,0,0
"ENSMUSG00000060499",0,0,0,0,0,0
"ENSMUSG00000060503",0,0,0,0,0,0
"ENSMUSG00000060508",0,0,0,0,0,0
"ENSMUSG00000060509",36,31,0,65,84,31
"ENSMUSG00000060510",2341,2193,4143,3357,2752,3756
"ENSMUSG00000060512",0,2,0,6,0,1
"ENSMUSG00000060519",4091,3417,5001,2788,4063,3996
"ENSMUSG00000060523",0,0,0,0,0,0
"ENSMUSG00000060530",0,0,86,0,0,0
"ENSMUSG00000060534",0,0,0,0,0,0
"ENSMUSG00000060538",415,392,494,268,385,474
"ENSMUSG00000060548",8847,16742,25083,8308,16310,19423
"ENSMUSG00000060550",2463,2128,2915,299,415,381
"ENSMUSG00000060556",0,0,0,0,0,0
"ENSMUSG00000060559",1,25,66,20,61,31
"ENSMUSG00000060560",0,0,0,0,0,0
"ENSMUSG00000060565",0,0,0,0,0,0
"ENSMUSG00000060566",1,0,0,0,1,0
"ENSMUSG00000060568",263,43,161,94,115,194
"ENSMUSG00000060572",967,554,681,192,383,434
"ENSMUSG00000060579",0,5,1,0,0,0
"ENSMUSG00000060583",0,0,0,0,0,0
"ENSMUSG00000060586",114,113,85,69,59,129
"ENSMUSG00000060591",7016,4906,6825,6434,5580,4583
"ENSMUSG00000060594",4588,4820,5877,3363,6502,5078
"ENSMUSG00000060600",409,179,412,221,263,232
"ENSMUSG00000060601",6694,5718,8761,6723,6855,5836
"ENSMUSG00000060613",0,0,0,0,0,0
"ENSMUSG00000060615",0,0,0,0,0,0
"ENSMUSG00000060621",0,0,0,0,0,0
"ENSMUSG00000060630",0,0,0,0,0,0
"ENSMUSG00000060636",33,42,126,75,39,47
"ENSMUSG00000060639",66,18,52,48,22,0
"ENSMUSG00000060647",323,269,354,652,456,439
"ENSMUSG00000060657",162,237,512,368,211,241
"ENSMUSG00000060663",0,0,0,0,0,0
"ENSMUSG00000060671",2622,4226,5458,3213,3728,4268
"ENSMUSG00000060673",0,0,0,0,0,0
"ENSMUSG00000060675",1564,2400,3611,2041,2639,2135
"ENSMUSG00000060678",15,9,88,37,23,40
"ENSMUSG00000060679",1065,744,1348,824,1131,906
"ENSMUSG00000060680",578,416,591,629,635,460
"ENSMUSG00000060681",1062,913,1544,1064,947,813
"ENSMUSG00000060685",0,0,0,0,0,0
"ENSMUSG00000060688",0,0,0,0,0,0
"ENSMUSG00000060691",0,0,0,0,0,0
"ENSMUSG00000060699",0,0,0,0,0,0
"ENSMUSG00000060701",0,0,0,0,0,0
"ENSMUSG00000060703",265,539,235,167,169,372
"ENSMUSG00000060708",1487,1030,1416,996,1555,1356
"ENSMUSG00000060715",0,0,0,0,0,0
"ENSMUSG00000060716",1,239,185,108,72,116
"ENSMUSG00000060724",0,0,0,0,0,0
"ENSMUSG00000060726",0,0,0,0,0,0
"ENSMUSG00000060727",112,91,129,112,141,139
"ENSMUSG00000060730",13,14,16,11,25,17
"ENSMUSG00000060733",5701,5976,11053,5327,7478,7904
"ENSMUSG00000060735",0,0,0,0,0,0
"ENSMUSG00000060738",0,0,0,0,0,0
"ENSMUSG00000060739",250,397,451,232,338,336
"ENSMUSG00000060742",0,0,0,0,0,0
"ENSMUSG00000060743",818,710,1168,796,881,776
"ENSMUSG00000060747",0,0,0,0,0,0
"ENSMUSG00000060756",0,0,0,0,0,0
"ENSMUSG00000060759",0,0,0,0,0,0
"ENSMUSG00000060765",0,0,0,0,0,0
"ENSMUSG00000060771",639,567,738,703,143,615
"ENSMUSG00000060777",0,0,25,0,0,0
"ENSMUSG00000060780",0,0,11,11,0,0
"ENSMUSG00000060787",0,0,0,0,0,0
"ENSMUSG00000060791",3,5,0,0,5,4
"ENSMUSG00000060794",0,0,0,0,0,0
"ENSMUSG00000060795",0,2,3,1,0,2
"ENSMUSG00000060798",0,181,501,166,8,0
"ENSMUSG00000060802",77288,63374,91933,54645,65059,50552
"ENSMUSG00000060803",1112,1039,1969,1010,1115,1298
"ENSMUSG00000060807",0,0,0,0,0,0
"ENSMUSG00000060808",61,17,47,7,50,15
"ENSMUSG00000060811",0,0,0,0,0,0
"ENSMUSG00000060816",0,0,0,0,0,0
"ENSMUSG00000060827",0,0,0,0,0,0
"ENSMUSG00000060843",17,170,0,3,0,84
"ENSMUSG00000060860",215,198,321,237,242,252
"ENSMUSG00000060862",547,396,598,261,451,384
"ENSMUSG00000060863",0,0,0,0,0,0
"ENSMUSG00000060878",0,0,0,0,0,0
"ENSMUSG00000060879",0,0,0,0,0,0
"ENSMUSG00000060882",0,28,0,35,0,41
