,OH1,OH3,OH4,YH1,YH3,YH4_1,YH4_L2
ENSMUSG00000082894,0,0,0,0,0,0,0
ENSMUSG00000082895,19,10,12,16,15,18,21
ENSMUSG00000082896,1354,1897,1193,2456,1546,1130,1175
ENSMUSG00000082897,0,0,0,0,0,0,0
ENSMUSG00000082898,0,0,0,0,0,0,0
ENSMUSG00000082899,0,0,0,0,0,0,0
ENSMUSG00000082900,1,1,0,2,0,0,1
ENSMUSG00000082901,2,0,0,0,0,0,0
ENSMUSG00000082902,0,0,0,0,0,0,0
ENSMUSG00000082903,0,0,0,0,0,0,0
ENSMUSG00000082905,0,0,0,0,1,0,0
ENSMUSG00000082906,35,40,44,33,33,31,41
ENSMUSG00000082907,0,0,0,0,0,0,0
ENSMUSG00000082908,446,355,284,332,250,445,484
ENSMUSG00000082910,0,0,0,0,0,0,0
ENSMUSG00000082911,29,22,5,9,0,43,61
ENSMUSG00000082912,15,11,16,24,17,14,16
ENSMUSG00000082913,0,0,0,0,0,0,0
ENSMUSG00000082915,0,0,0,0,0,0,0
ENSMUSG00000082917,0,0,0,0,0,0,0
ENSMUSG00000082918,0,0,0,0,0,0,0
ENSMUSG00000082919,0,0,0,0,0,0,0
ENSMUSG00000082920,18,22,2,15,17,7,8
ENSMUSG00000082922,3,0,27,0,0,22,20
ENSMUSG00000082924,0,0,0,0,0,0,0
ENSMUSG00000082925,188,301,225,209,231,276,260
ENSMUSG00000082926,1,0,0,0,0,2,4
ENSMUSG00000082927,1,0,2,0,0,2,3
ENSMUSG00000082928,0,0,0,0,0,0,0
ENSMUSG00000082929,0,0,0,0,0,0,0
ENSMUSG00000082930,0,0,0,0,0,0,0
ENSMUSG00000082931,0,11,0,0,0,5,4
ENSMUSG00000082932,0,0,0,0,0,1,0
ENSMUSG00000082933,0,0,0,0,0,0,0
ENSMUSG00000082934,0,0,0,0,0,0,0
ENSMUSG00000082935,2491,1862,2064,1544,2136,1748,1847
ENSMUSG00000082936,87,0,11,0,0,22,12
ENSMUSG00000082937,0,0,0,0,0,0,0
ENSMUSG00000082938,377,395,302,192,211,358,373
ENSMUSG00000082939,0,0,0,0,0,0,0
ENSMUSG00000082940,0,0,0,0,0,0,0
ENSMUSG00000082941,0,0,0,0,0,0,0
ENSMUSG00000082943,0,0,0,0,0,0,0
ENSMUSG00000082945,0,0,0,0,0,0,0
ENSMUSG00000082947,0,1,1,0,0,0,2
ENSMUSG00000082949,0,0,0,0,0,0,0
ENSMUSG00000082950,0,0,0,0,0,0,0
ENSMUSG00000082951,3,4,3,4,3,3,4
ENSMUSG00000082952,0,0,0,0,0,0,0
ENSMUSG00000082953,132,198,98,147,143,115,134
ENSMUSG00000082954,0,0,0,0,0,0,0
ENSMUSG00000082955,30,37,35,57,46,61,41
ENSMUSG00000082956,0,0,1,0,0,0,0
ENSMUSG00000082957,2,5,2,3,8,5,7
ENSMUSG00000082958,0,0,0,0,0,0,0
ENSMUSG00000082960,0,0,0,0,0,0,0
ENSMUSG00000082961,0,0,0,0,0,0,0
ENSMUSG00000082962,0,0,0,0,0,0,0
ENSMUSG00000082963,0,0,0,0,0,0,0
ENSMUSG00000082964,0,0,12,34,0,0,0
ENSMUSG00000082965,0,0,0,0,0,0,0
ENSMUSG00000082966,0,0,0,0,0,0,0
ENSMUSG00000082967,0,0,0,0,0,0,0
ENSMUSG00000082968,0,0,0,0,0,0,0
ENSMUSG00000082969,0,0,0,0,1,1,0
ENSMUSG00000082970,0,0,0,0,0,0,0
ENSMUSG00000082971,0,0,0,0,0,0,0
ENSMUSG00000082973,0,0,0,0,0,0,0
ENSMUSG00000082974,0,0,0,0,0,0,0
ENSMUSG00000082975,0,0,0,0,0,0,0
ENSMUSG00000082976,0,0,0,0,0,0,0
ENSMUSG00000082977,0,0,0,0,0,0,0
ENSMUSG00000082978,75,94,45,36,38,67,61
ENSMUSG00000082980,0,0,0,0,0,0,0
ENSMUSG00000082981,0,0,0,0,0,0,0
ENSMUSG00000082982,0,0,0,0,0,0,0
ENSMUSG00000082983,0,0,0,0,0,0,0
ENSMUSG00000082985,0,0,0,0,0,0,0
ENSMUSG00000082986,0,0,0,0,0,0,0
ENSMUSG00000082987,0,0,0,0,0,0,0
ENSMUSG00000082988,222,380,561,598,466,554,572
ENSMUSG00000082989,0,0,0,0,0,0,0
ENSMUSG00000082990,0,7,0,0,1,0,0
ENSMUSG00000082991,0,0,0,0,0,0,0
ENSMUSG00000082993,0,0,0,0,0,0,0
ENSMUSG00000082994,0,0,0,0,0,0,0
ENSMUSG00000082995,0,0,0,0,0,0,0
ENSMUSG00000082996,0,0,0,0,0,0,0
ENSMUSG00000082997,0,0,0,0,0,0,0
ENSMUSG00000082998,577,565,459,443,493,550,600
ENSMUSG00000083000,0,0,0,0,0,0,0
ENSMUSG00000083001,0,0,0,0,0,0,0
ENSMUSG00000083004,0,0,1,1,0,5,5
ENSMUSG00000083005,0,0,0,0,0,0,0
ENSMUSG00000083006,0,0,0,0,0,0,0
ENSMUSG00000083007,1,1,1,0,1,0,0
ENSMUSG00000083008,0,0,0,0,0,0,0
ENSMUSG00000083009,0,0,0,11,0,8,8
ENSMUSG00000083010,0,0,0,0,0,0,0
ENSMUSG00000083011,0,0,3,0,0,3,1
ENSMUSG00000083012,576,280,449,443,642,506,496
ENSMUSG00000083013,0,0,0,0,0,0,0
ENSMUSG00000083014,0,11,25,0,0,26,30
ENSMUSG00000083015,1,0,0,0,0,0,0
ENSMUSG00000083016,0,0,0,0,0,0,0
ENSMUSG00000083017,0,0,0,0,0,0,0
ENSMUSG00000083018,0,0,0,0,0,0,0
ENSMUSG00000083019,23,20,16,20,23,21,17
ENSMUSG00000083020,0,0,0,0,0,0,0
ENSMUSG00000083022,38,37,25,13,19,42,28
ENSMUSG00000083023,0,0,0,0,0,0,0
ENSMUSG00000083024,0,0,0,0,0,0,0
ENSMUSG00000083025,0,0,0,0,0,0,0
ENSMUSG00000083026,0,0,0,0,0,0,0
ENSMUSG00000083027,107,180,159,137,155,152,141
ENSMUSG00000083029,0,0,0,0,0,0,0
ENSMUSG00000083030,0,0,0,0,0,0,0
ENSMUSG00000083031,0,0,0,0,0,0,0
ENSMUSG00000083032,0,0,0,0,0,0,0
ENSMUSG00000083033,0,3,1,1,0,0,1
ENSMUSG00000083034,0,0,0,0,0,0,0
ENSMUSG00000083036,0,0,0,0,0,0,0
ENSMUSG00000083037,0,0,0,0,0,0,0
ENSMUSG00000083038,0,0,0,0,0,0,0
ENSMUSG00000083039,0,0,0,0,0,0,0
ENSMUSG00000083041,58,34,22,57,48,52,48
ENSMUSG00000083042,0,0,0,0,0,0,0
ENSMUSG00000083043,0,0,0,0,0,0,0
ENSMUSG00000083044,9,1,1,7,2,6,2
ENSMUSG00000083045,0,0,0,0,0,0,0
ENSMUSG00000083046,0,0,0,0,0,0,0
ENSMUSG00000083047,0,0,0,0,0,0,0
ENSMUSG00000083049,11,36,22,12,18,13,20
ENSMUSG00000083050,0,0,0,0,0,0,0
ENSMUSG00000083052,0,0,0,0,0,0,0
ENSMUSG00000083053,0,0,0,0,0,0,0
ENSMUSG00000083054,0,0,0,0,0,0,0
ENSMUSG00000083055,52,68,70,60,57,55,65
ENSMUSG00000083057,0,0,0,0,0,0,0
ENSMUSG00000083058,0,0,0,0,0,0,0
ENSMUSG00000083059,0,0,0,0,0,0,0
ENSMUSG00000083060,0,0,0,0,0,0,0
ENSMUSG00000083061,66,56,49,29,32,38,56
ENSMUSG00000083062,1,0,0,0,0,0,0
ENSMUSG00000083063,0,0,0,0,0,0,0
ENSMUSG00000083064,629,714,601,544,645,565,646
ENSMUSG00000083065,0,0,0,0,0,0,0
ENSMUSG00000083066,0,0,0,0,0,0,0
ENSMUSG00000083067,0,0,0,0,0,0,0
ENSMUSG00000083068,0,0,0,0,0,5,6
ENSMUSG00000083069,0,0,0,0,0,0,0
ENSMUSG00000083070,0,0,0,0,0,0,0
ENSMUSG00000083072,0,0,0,0,0,0,2
ENSMUSG00000083073,0,0,0,0,0,0,0
ENSMUSG00000083074,1,0,0,0,0,0,0
ENSMUSG00000083075,0,0,0,0,0,0,0
ENSMUSG00000083076,0,0,0,0,0,1,0
ENSMUSG00000083077,0,0,0,0,0,0,0
ENSMUSG00000083078,0,0,0,0,0,0,0
ENSMUSG00000083079,0,0,0,0,0,0,0
ENSMUSG00000083080,0,0,0,0,0,0,0
ENSMUSG00000083081,0,1,1,0,1,1,1
ENSMUSG00000083083,2,0,0,0,4,0,0
ENSMUSG00000083084,0,0,0,0,0,0,0
ENSMUSG00000083085,0,0,0,0,0,0,0
ENSMUSG00000083086,0,0,0,0,0,0,0
ENSMUSG00000083087,19,24,9,8,12,13,12
ENSMUSG00000083088,0,0,0,0,0,0,0
ENSMUSG00000083089,0,0,0,0,0,0,0
ENSMUSG00000083090,0,0,2,0,0,33,16
ENSMUSG00000083091,0,0,0,0,0,0,0
ENSMUSG00000083093,0,0,3,0,0,5,5
ENSMUSG00000083094,0,0,0,0,0,0,0
ENSMUSG00000083096,0,0,0,0,0,0,0
ENSMUSG00000083097,1471,1654,1313,1017,1163,1593,1657
ENSMUSG00000083098,0,0,0,0,0,0,0
ENSMUSG00000083099,0,0,0,0,0,0,0
ENSMUSG00000083100,0,9,5,0,0,0,0
ENSMUSG00000083101,1,1,1,0,0,0,0
ENSMUSG00000083103,0,0,0,0,0,0,0
ENSMUSG00000083104,0,0,2,0,0,0,0
ENSMUSG00000083105,0,0,0,0,0,0,0
ENSMUSG00000083106,0,0,0,0,0,0,0
ENSMUSG00000083107,37,45,32,71,28,17,28
ENSMUSG00000083109,0,0,0,0,0,0,0
ENSMUSG00000083110,0,0,0,0,0,0,0
ENSMUSG00000083111,0,0,1,0,0,0,0
ENSMUSG00000083112,0,0,0,0,0,0,0
ENSMUSG00000083113,0,0,0,0,0,0,0
ENSMUSG00000083114,0,0,0,0,0,0,0
ENSMUSG00000083115,0,0,0,0,0,0,0
ENSMUSG00000083116,91,133,89,76,99,95,103
ENSMUSG00000083117,0,0,0,0,0,0,0
ENSMUSG00000083118,0,0,0,0,0,0,0
ENSMUSG00000083119,0,0,0,0,0,0,0
ENSMUSG00000083120,0,0,0,0,0,0,0
ENSMUSG00000083121,0,1,1,0,0,1,1
ENSMUSG00000083122,0,0,0,0,0,0,0
ENSMUSG00000083123,0,0,0,0,0,0,0
ENSMUSG00000083124,0,0,0,0,0,0,0
ENSMUSG00000083126,0,0,0,0,0,0,0
ENSMUSG00000083127,0,0,0,0,0,0,0
ENSMUSG00000083128,0,0,0,0,0,0,0
ENSMUSG00000083129,0,0,0,0,0,0,0
ENSMUSG00000083130,0,0,0,0,0,0,0
ENSMUSG00000083135,0,0,0,0,0,0,0
ENSMUSG00000083136,0,0,0,0,0,0,0
ENSMUSG00000083137,0,0,0,0,0,0,0
ENSMUSG00000083138,0,0,0,0,0,0,0
ENSMUSG00000083139,670,674,584,760,411,960,1033
ENSMUSG00000083140,0,0,0,0,0,0,0
ENSMUSG00000083141,0,0,0,0,0,0,0
ENSMUSG00000083142,0,0,0,0,0,0,0
ENSMUSG00000083143,0,0,0,0,0,0,0
ENSMUSG00000083144,0,0,0,0,0,0,0
ENSMUSG00000083145,0,0,0,0,0,0,0
ENSMUSG00000083147,0,0,0,0,0,0,0
ENSMUSG00000083149,0,0,0,0,0,0,0
ENSMUSG00000083150,0,0,0,0,0,0,0
ENSMUSG00000083151,0,0,0,0,0,0,0
ENSMUSG00000083152,0,16,4,2,26,6,12
ENSMUSG00000083153,0,0,0,0,0,0,0
ENSMUSG00000083154,0,0,0,0,0,0,0
ENSMUSG00000083155,0,0,0,0,0,0,0
ENSMUSG00000083156,0,0,0,0,0,0,0
ENSMUSG00000083157,0,0,0,2,0,4,7
ENSMUSG00000083158,0,0,0,0,0,0,0
ENSMUSG00000083159,0,0,0,0,0,0,0
ENSMUSG00000083160,0,0,0,0,0,0,0
ENSMUSG00000083161,0,69,0,0,0,0,0
ENSMUSG00000083162,0,0,0,0,0,0,0
ENSMUSG00000083163,0,0,0,0,0,0,0
ENSMUSG00000083165,0,0,0,0,0,0,0
ENSMUSG00000083166,0,0,0,0,0,0,0
ENSMUSG00000083167,0,0,0,0,0,0,0
ENSMUSG00000083168,0,0,0,0,0,0,0
ENSMUSG00000083169,243,222,214,97,172,244,279
ENSMUSG00000083170,0,0,0,0,0,0,0
ENSMUSG00000083171,0,0,0,0,0,0,0
ENSMUSG00000083172,0,0,0,0,0,0,0
ENSMUSG00000083173,0,0,0,0,0,0,0
ENSMUSG00000083174,0,0,0,0,0,0,0
ENSMUSG00000083175,0,0,0,0,0,0,0
ENSMUSG00000083176,4,0,0,0,0,0,0
ENSMUSG00000083177,0,0,0,0,0,0,0
ENSMUSG00000083178,23,0,0,0,0,0,0
ENSMUSG00000083179,1432,1067,1216,1122,1321,1293,1301
ENSMUSG00000083180,0,0,0,0,0,0,0
ENSMUSG00000083181,0,0,0,0,0,0,0
ENSMUSG00000083182,0,0,0,0,0,0,0
ENSMUSG00000083183,42,0,0,0,0,0,0
ENSMUSG00000083185,0,0,0,0,0,0,0
ENSMUSG00000083186,19,14,17,10,27,26,23
ENSMUSG00000083188,0,0,0,0,0,0,0
ENSMUSG00000083190,0,0,0,0,0,0,0
ENSMUSG00000083191,0,0,0,0,0,0,0
ENSMUSG00000083192,0,0,0,0,0,0,0
ENSMUSG00000083193,4,19,0,6,0,0,0
ENSMUSG00000083195,0,0,0,0,0,0,0
ENSMUSG00000083196,0,0,0,0,0,0,0
ENSMUSG00000083197,0,0,0,0,0,0,0
ENSMUSG00000083199,21,25,19,22,20,26,22
ENSMUSG00000083200,0,0,0,0,0,0,0
ENSMUSG00000083201,0,0,0,0,0,0,0
ENSMUSG00000083202,0,0,0,0,0,0,0
ENSMUSG00000083203,0,0,0,0,0,0,0
ENSMUSG00000083204,0,0,0,0,0,0,0
ENSMUSG00000083205,0,0,0,0,0,0,0
ENSMUSG00000083206,0,0,0,0,0,0,0
ENSMUSG00000083207,0,0,0,0,0,0,0
ENSMUSG00000083208,0,0,0,0,0,0,0
ENSMUSG00000083209,0,0,8,0,0,0,0
ENSMUSG00000083210,12,0,0,0,0,0,0
ENSMUSG00000083211,0,0,0,0,0,0,0
ENSMUSG00000083212,0,0,0,0,0,0,0
ENSMUSG00000083213,0,0,0,0,0,0,0
ENSMUSG00000083214,0,0,0,0,0,0,0
ENSMUSG00000083215,41,44,19,55,18,22,41
ENSMUSG00000083216,0,0,0,0,0,0,0
ENSMUSG00000083218,178,139,116,133,135,186,205
ENSMUSG00000083219,0,0,0,0,0,0,0
ENSMUSG00000083220,1,1,0,1,0,3,0
ENSMUSG00000083221,0,0,0,0,0,0,0
ENSMUSG00000083222,0,0,0,0,0,0,0
ENSMUSG00000083223,0,0,0,0,0,0,0
ENSMUSG00000083224,0,0,0,0,0,0,0
ENSMUSG00000083225,0,0,0,0,0,0,0
ENSMUSG00000083226,0,43,0,18,0,8,15
ENSMUSG00000083227,0,0,0,0,0,0,0
ENSMUSG00000083228,0,0,0,0,0,0,0
ENSMUSG00000083229,0,0,0,0,0,0,0
ENSMUSG00000083230,0,0,0,0,0,0,0
ENSMUSG00000083231,0,0,0,0,0,0,0
ENSMUSG00000083232,0,0,0,0,0,0,0
ENSMUSG00000083233,0,0,0,0,0,0,0
ENSMUSG00000083234,0,0,0,0,0,0,0
ENSMUSG00000083235,0,0,0,0,0,0,0
ENSMUSG00000083236,0,1,0,0,0,0,0
ENSMUSG00000083237,0,0,0,0,0,0,0
ENSMUSG00000083238,0,0,2,4,0,0,0
ENSMUSG00000083239,0,0,0,0,0,0,0
ENSMUSG00000083240,1052,934,758,830,775,1031,985
ENSMUSG00000083241,0,0,0,0,0,0,0
ENSMUSG00000083242,16,14,14,11,9,22,9
ENSMUSG00000083243,0,0,0,0,0,0,0
ENSMUSG00000083244,0,0,0,0,0,0,0
ENSMUSG00000083245,0,1,1,2,2,9,2
ENSMUSG00000083246,0,19,27,0,15,0,0
ENSMUSG00000083248,0,0,0,0,0,0,0
ENSMUSG00000083249,0,0,0,0,0,0,0
ENSMUSG00000083250,7,11,11,12,11,10,6
ENSMUSG00000083251,0,0,0,0,0,0,0
ENSMUSG00000083252,0,0,0,0,0,0,0
ENSMUSG00000083253,8,8,7,6,9,3,7
ENSMUSG00000083254,0,0,0,0,0,0,0
ENSMUSG00000083255,0,0,0,0,0,0,0
ENSMUSG00000083256,0,0,0,0,0,0,0
ENSMUSG00000083257,0,0,0,0,0,0,0
ENSMUSG00000083258,163,196,260,218,214,292,283
ENSMUSG00000083260,0,0,0,0,0,0,0
ENSMUSG00000083261,3412,3825,2818,6369,3851,2692,2784
ENSMUSG00000083262,0,0,0,0,0,0,0
ENSMUSG00000083263,0,0,0,0,0,0,0
ENSMUSG00000083264,0,0,0,0,0,0,0
ENSMUSG00000083266,0,0,0,0,0,0,0
ENSMUSG00000083267,0,0,0,0,0,0,0
ENSMUSG00000083268,0,0,0,0,0,0,0
ENSMUSG00000083269,0,0,0,0,0,0,0
ENSMUSG00000083270,931,815,537,2394,842,662,651
ENSMUSG00000083271,0,0,0,0,0,0,0
ENSMUSG00000083272,0,0,0,0,0,0,0
ENSMUSG00000083274,0,0,0,0,0,0,0
ENSMUSG00000083275,0,0,0,0,0,0,0
ENSMUSG00000083276,0,0,0,0,0,0,0
ENSMUSG00000083277,0,0,0,0,0,0,0
ENSMUSG00000083278,0,0,0,0,0,0,0
ENSMUSG00000083279,0,0,0,0,0,0,0
ENSMUSG00000083280,292,327,240,265,245,270,286
ENSMUSG00000083281,36,31,34,21,29,27,27
ENSMUSG00000083282,1999,3357,3384,1197,1373,1665,1652
ENSMUSG00000083283,1042,1125,884,1232,1002,1140,1194
ENSMUSG00000083284,27,51,47,0,0,77,90
ENSMUSG00000083285,0,0,0,0,0,0,0
ENSMUSG00000083287,24,150,64,135,102,161,169
ENSMUSG00000083288,0,0,0,0,0,0,0
ENSMUSG00000083289,30,13,18,30,19,14,10
ENSMUSG00000083290,0,0,0,0,0,0,0
ENSMUSG00000083291,0,0,0,0,0,0,0
ENSMUSG00000083292,0,0,0,0,0,0,0
ENSMUSG00000083293,0,0,0,0,0,0,0
ENSMUSG00000083294,0,0,0,0,0,0,0
ENSMUSG00000083296,0,0,0,0,0,0,0
ENSMUSG00000083297,0,0,0,0,0,0,0
ENSMUSG00000083298,0,0,0,0,0,0,0
ENSMUSG00000083299,0,0,0,0,0,0,0
ENSMUSG00000083300,1,9,0,0,6,0,0
ENSMUSG00000083303,0,0,0,0,0,0,0
ENSMUSG00000083304,0,0,0,0,0,0,0
ENSMUSG00000083305,3,0,1,1,1,0,0
ENSMUSG00000083306,6,0,10,0,0,0,0
ENSMUSG00000083307,0,8,0,0,0,0,0
ENSMUSG00000083309,0,0,0,0,0,0,0
ENSMUSG00000083310,0,0,0,0,0,0,0
ENSMUSG00000083311,0,1,1,0,4,0,1
ENSMUSG00000083312,0,0,0,0,0,0,0
ENSMUSG00000083314,0,0,0,0,0,0,0
ENSMUSG00000083315,0,0,0,0,0,0,0
ENSMUSG00000083316,0,0,0,0,0,0,0
ENSMUSG00000083317,0,0,0,0,0,0,0
ENSMUSG00000083318,0,0,0,0,0,0,0
ENSMUSG00000083319,0,0,0,0,0,0,0
ENSMUSG00000083320,0,1,0,0,0,0,0
ENSMUSG00000083321,0,0,0,0,0,0,0
ENSMUSG00000083324,0,0,0,0,0,0,0
ENSMUSG00000083325,1232,1489,1445,1270,1302,1473,1437
ENSMUSG00000083326,0,0,0,0,0,0,0
ENSMUSG00000083327,10779,13694,11567,14386,12160,13109,13619
ENSMUSG00000083328,57,51,50,31,41,36,75
ENSMUSG00000083329,0,0,0,0,0,0,0
ENSMUSG00000083330,0,0,0,0,0,0,0
ENSMUSG00000083331,0,0,0,0,0,0,0
ENSMUSG00000083332,0,0,0,0,0,0,2
ENSMUSG00000083333,0,0,0,0,0,0,0
ENSMUSG00000083334,0,0,0,0,0,0,0
ENSMUSG00000083335,0,0,0,0,0,0,0
ENSMUSG00000083336,0,0,0,0,0,0,0
ENSMUSG00000083337,110,121,106,85,117,134,131
ENSMUSG00000083338,28,100,42,51,65,38,51
ENSMUSG00000083339,0,1,0,0,0,22,19
ENSMUSG00000083340,0,0,0,0,0,0,0
ENSMUSG00000083341,0,0,0,0,0,0,0
ENSMUSG00000083342,2,1,1,0,0,2,1
ENSMUSG00000083343,0,0,0,0,0,0,0
ENSMUSG00000083344,0,0,0,1,1,2,1
ENSMUSG00000083345,0,0,0,0,0,0,0
ENSMUSG00000083346,0,0,0,0,0,0,0
ENSMUSG00000083347,0,0,0,0,0,0,0
ENSMUSG00000083348,0,0,0,0,0,0,0
ENSMUSG00000083350,0,0,0,0,0,0,0
ENSMUSG00000083351,0,0,0,0,0,0,0
ENSMUSG00000083352,0,0,0,0,0,0,0
ENSMUSG00000083353,0,0,0,0,0,0,0
ENSMUSG00000083355,0,0,0,0,0,14,18
ENSMUSG00000083356,0,0,0,0,0,0,0
ENSMUSG00000083358,0,0,0,0,0,0,0
ENSMUSG00000083359,0,0,0,0,0,0,0
ENSMUSG00000083361,0,0,0,0,0,0,0
ENSMUSG00000083362,0,0,0,0,0,0,0
ENSMUSG00000083363,0,0,0,0,0,0,0
ENSMUSG00000083364,221,215,175,119,169,226,219
ENSMUSG00000083365,0,0,0,0,0,0,0
ENSMUSG00000083366,0,0,0,0,0,0,0
ENSMUSG00000083367,1316,1744,1241,1982,1851,1582,1570
ENSMUSG00000083368,0,0,0,0,0,0,0
ENSMUSG00000083369,0,0,0,0,0,0,0
ENSMUSG00000083371,0,0,0,0,0,0,0
ENSMUSG00000083372,115,102,106,93,43,113,101
ENSMUSG00000083373,7,2,2,4,1,2,10
ENSMUSG00000083374,0,0,0,0,0,0,0
ENSMUSG00000083375,0,0,0,0,0,0,0
ENSMUSG00000083376,0,0,0,0,0,0,0
ENSMUSG00000083377,0,0,0,0,0,0,0
ENSMUSG00000083378,7,5,7,6,2,3,5
ENSMUSG00000083379,0,0,0,0,0,0,0
ENSMUSG00000083380,3,5,3,1,4,0,3
ENSMUSG00000083381,0,0,0,0,0,0,0
ENSMUSG00000083382,2,0,0,0,3,0,0
ENSMUSG00000083383,0,0,0,0,0,0,0
ENSMUSG00000083384,0,0,0,0,0,0,0
ENSMUSG00000083385,0,0,0,0,0,0,0
ENSMUSG00000083386,0,0,0,0,0,0,0
ENSMUSG00000083387,0,0,0,0,0,0,0
ENSMUSG00000083388,0,0,0,0,0,0,0
ENSMUSG00000083389,0,0,0,0,0,0,0
ENSMUSG00000083390,3,2,1,0,0,1,1
ENSMUSG00000083391,2,0,2,1,1,0,2
ENSMUSG00000083392,33,29,17,56,36,25,21
ENSMUSG00000083393,0,0,0,0,0,0,0
ENSMUSG00000083394,1,1,1,0,0,0,0
ENSMUSG00000083395,0,0,0,0,0,0,0
ENSMUSG00000083396,3829,4145,3195,6839,4259,3176,3173
ENSMUSG00000083397,0,0,0,0,0,0,0
ENSMUSG00000083398,0,0,0,0,0,0,0
ENSMUSG00000083399,0,0,0,0,0,0,0
ENSMUSG00000083401,0,0,0,0,0,0,0
ENSMUSG00000083402,0,0,0,0,0,0,0
ENSMUSG00000083403,0,0,0,0,0,0,0
ENSMUSG00000083404,0,0,0,0,0,0,0
ENSMUSG00000083405,0,0,0,0,0,0,0
ENSMUSG00000083406,0,0,0,0,0,0,0
ENSMUSG00000083407,1,0,0,1,2,0,0
ENSMUSG00000083409,0,0,0,0,0,0,0
ENSMUSG00000083410,0,0,0,0,0,0,0
ENSMUSG00000083411,0,0,0,0,0,0,0
ENSMUSG00000083412,0,0,11,0,0,0,0
ENSMUSG00000083413,0,0,0,0,0,0,0
ENSMUSG00000083414,0,0,0,0,0,0,0
ENSMUSG00000083416,2,2,2,4,3,7,5
ENSMUSG00000083417,0,0,0,0,0,0,0
ENSMUSG00000083418,0,0,0,0,0,0,0
ENSMUSG00000083419,0,0,0,0,0,0,0
ENSMUSG00000083420,0,0,0,0,0,0,0
ENSMUSG00000083421,0,0,0,0,0,0,0
ENSMUSG00000083422,0,0,0,0,0,0,0
ENSMUSG00000083423,0,0,0,0,0,0,0
ENSMUSG00000083424,2,4,0,2,5,3,2
ENSMUSG00000083425,0,0,0,0,0,0,0
ENSMUSG00000083427,0,0,0,0,0,0,0
ENSMUSG00000083428,0,0,0,0,0,0,0
ENSMUSG00000083429,0,0,0,1,0,0,1
ENSMUSG00000083430,0,0,0,0,0,0,0
ENSMUSG00000083431,0,0,0,0,0,0,0
ENSMUSG00000083432,0,0,0,0,0,0,0
ENSMUSG00000083434,0,0,0,0,0,0,0
ENSMUSG00000083435,10,8,11,5,6,12,9
ENSMUSG00000083436,0,0,0,0,0,0,0
ENSMUSG00000083437,0,0,0,0,0,0,0
ENSMUSG00000083438,5,6,6,4,3,9,7
ENSMUSG00000083439,0,0,0,0,0,0,0
ENSMUSG00000083440,0,0,0,0,0,0,0
ENSMUSG00000083441,0,0,0,0,0,0,0
ENSMUSG00000083443,965,1449,1380,951,1085,1269,1315
ENSMUSG00000083444,0,0,0,0,0,0,0
ENSMUSG00000083445,0,0,0,0,0,0,0
ENSMUSG00000083446,0,0,0,0,0,0,0
ENSMUSG00000083447,0,0,0,0,0,0,0
ENSMUSG00000083448,0,0,0,0,0,0,0
ENSMUSG00000083449,196,265,232,171,167,286,284
ENSMUSG00000083450,0,0,0,0,0,0,0
ENSMUSG00000083451,0,0,0,0,0,0,0
ENSMUSG00000083452,0,0,0,0,0,0,0
ENSMUSG00000083453,0,0,0,0,0,0,0
ENSMUSG00000083454,0,0,0,0,0,0,0
ENSMUSG00000083455,0,0,0,0,0,0,0
ENSMUSG00000083456,0,0,0,0,0,0,0
ENSMUSG00000083457,0,0,2,0,0,0,1
ENSMUSG00000083458,397,531,390,475,346,666,635
ENSMUSG00000083460,0,0,0,0,0,0,0
ENSMUSG00000083461,0,0,0,0,0,0,0
ENSMUSG00000083462,0,0,0,0,0,0,0
ENSMUSG00000083463,0,0,0,0,0,0,0
ENSMUSG00000083465,894,1108,998,1318,1239,1201,1329
ENSMUSG00000083466,0,0,0,0,0,0,0
ENSMUSG00000083467,0,0,0,0,0,0,0
ENSMUSG00000083468,0,0,0,0,0,0,0
ENSMUSG00000083469,0,0,0,0,0,0,0
ENSMUSG00000083470,0,0,0,0,0,0,0
ENSMUSG00000083471,1,0,0,0,0,1,1
ENSMUSG00000083472,0,0,0,0,0,0,0
ENSMUSG00000083473,0,0,0,0,0,25,28
ENSMUSG00000083474,147,131,121,129,143,144,175
ENSMUSG00000083475,0,0,0,0,0,0,0
ENSMUSG00000083477,1318,1205,1235,1344,1280,1308,1458
ENSMUSG00000083478,0,0,0,0,0,0,0
ENSMUSG00000083481,0,0,0,0,0,0,0
ENSMUSG00000083482,117,116,73,104,109,120,115
ENSMUSG00000083483,0,0,0,0,1,0,2
ENSMUSG00000083484,0,0,0,0,0,0,0
ENSMUSG00000083485,0,23,2,0,0,0,0
ENSMUSG00000083486,0,0,0,0,0,0,0
ENSMUSG00000083487,0,0,0,0,0,0,0
ENSMUSG00000083488,0,0,0,0,0,0,0
ENSMUSG00000083489,13,17,25,31,0,0,0
ENSMUSG00000083490,0,0,0,0,0,0,0
ENSMUSG00000083491,0,0,0,0,0,0,0
ENSMUSG00000083492,0,0,0,0,0,0,0
ENSMUSG00000083493,0,0,0,0,0,0,0
ENSMUSG00000083494,0,0,0,0,0,0,0
ENSMUSG00000083495,0,0,0,0,0,0,0
ENSMUSG00000083496,1,1,1,1,0,0,1
ENSMUSG00000083498,0,0,0,0,0,0,0
ENSMUSG00000083499,0,0,0,0,0,0,0
ENSMUSG00000083500,53,202,190,155,164,263,252
